PCT,SUP,AGN,UND
3601,33,16,17
3602,58,25,46
3603,68,16,45
3604,72,17,42
3605,60,17,47
3606,43,10,33
3607,3,,1
3608,89,55,99
3609,39,25,36
3610,32,16,22
3611,53,9,28
3612,54,26,40
3613,33,5,17
3614,96,15,49
3615,65,31,56
3616,39,21,23
3617,45,17,26
3618,51,8,21
3619,66,12,34
3620,80,34,47
3621,79,15,41
3622,63,26,46
3623,50,25,62
3624,50,34,40
3625,105,22,56
3626,79,5,12
3627,111,29,52
3628,39,32,57
3629,20,18,36
3630,51,22,29
3631,69,31,40
3632,71,17,49
3633,53,11,29
3634,56,14,41
3635,36,19,25
3636,90,15,32
3637,70,22,33
3638,110,42,42
3639,42,26,54
3640,37,44,55
3641,41,40,53
3642,30,31,37
3643,26,29,30
3644,102,24,33
3645,54,36,38
3646,59,32,45
3647,69,41,80
3648,40,48,47
3649,18,17,17
3650,37,39,44
3651,61,32,59
3652,25,14,38
