1 and only 1 out of 5
PCT,SUP,AGN,UND
3601,6,3,4
3602,4,3,6
3603,7,1,9
3604,9,1,5
3605,5,3,2
3606,4,1,4
3608,7,3,10
3609,5,1,3
3610,5,1,2
3611,10,1,4
3612,5,2,6
3613,1,,1
3614,16,2,6
3615,4,,8
3616,8,2,4
3617,8,3,7
3618,8,3,4
3619,9,2,9
3620,9,6,6
3621,9,2,5
3622,2,2,6
3623,4,2,13
3624,10,4,5
3625,12,5,19
3626,14,,2
3627,6,3,4
3628,7,5,11
3629,3,1,7
3630,12,2,7
3631,12,10,10
3632,14,2,6
3633,3,,4
3634,8,,3
3635,7,,2
3636,17,2,4
3637,15,3,7
3638,8,4,8
3639,5,4,11
3640,5,4,11
3641,8,5,11
3642,2,7,9
3643,2,3,3
3644,10,1,2
3645,8,6,10
3646,13,4,5
3647,5,2,11
3648,8,8,8
3649,2,,3
3650,2,3,5
3651,7,5,3
3652,3,1,3
